127.0.0.1 - - [19/Feb/2024:06:25:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:25:25 +0530] "GET /StudentRegistration/entry HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:25:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:25:46 +0530] "POST /student HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:26:32 +0530] "GET /StudentRegistration/entry HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:26:39 +0530] "POST /StudentRegistration/entry HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:31:05 +0530] "POST /StudentRegistration/entry HTTP/1.1" 412 679
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:31:15 +0530] "POST /StudentRegistration/entry HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:31:23 +0530] "POST /StudentRegistration/entry HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:31:34 +0530] "GET /StudentRegistration/student HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:31:49 +0530] "GET /student HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:33:34 +0530] "POST /StudentRegistration/entry HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:33:45 +0530] "POST /student HTTP/1.1" 404 758
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:35:42 +0530] "POST /StudentRegistration/entry HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:35:52 +0530] "POST /StudentRegistration/student HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [19/Feb/2024:06:37:53 +0530] "POST /StudentRegistration/student HTTP/1.1" 200 745
